Name,Description
to,L1 recipient address represented as a hex string
feeToken,name of token in which fee is to be paid (typically ETH)
token,id of the NFT
fee,transaction fee
fastProcessing,"pay additional fee to complete block immediately, skip waiting for other transactions to fill the block"
