Name,Description
from,Ethereum address of the target account.
token,Token to be withdrawnhttps://merlin-li.github.io/zksync/api/js/accounts#fn6
amount (optional),Amount to withdrawhttps://merlin-li.github.io/zksync/api/js/accounts#fn8
returns,Handle for this transaction.
